round1,round2,round3,round4,round5,round6,guesses
5153,71,26,3,2,0,SONIC - HANGS - MENDS - BENTS - TENTS
5153,33,6,1,0,0,NICKS - JERKY - QUAKE - FLAKE - AWAKE
5153,90,14,7,4,0,FENDS - SNOTS - HORNS - MOANS - COINS
5153,789,116,15,3,0,FICUS - MASTS - PEARS - BRAGS - GRASS
5153,1176,5,3,0,0,ANVIL - SPURT - SORRY - SWORD
5153,589,73,48,7,1,MARKS - VEXES - YELLS - BEEPS - SEEDS - TEENS
5153,721,13,0,0,0,CHEST - GLOBE - GRAZE - GENRE
5153,124,18,2,0,0,CORAL - BIRDS - SERUM - SERVE
5153,90,27,5,2,0,BERTH - RATER - TRESS - TROPE - TRUCE
5153,188,19,1,0,0,UMBRA - HOMOS - XYLEM - MILKY
5153,623,182,59,10,0,NEXUS - DORMS - SHAYS - TAPAS - FASTS - FACTS
5153,161,6,0,0,0,LASER - BRINK - GRUNT - FRONT
5153,365,85,4,0,0,SKOAL - DAZES - FARMS - RASPS - HAIRS
5153,541,32,0,0,0,PLUMY - LORDS - STALL - STILL
5153,89,6,1,0,0,BLIPS - POSED - SWEEP - SPREE - SUPER
5153,266,1,0,0,0,FILMS - BEGIN - BRUIN - BRAIN
5153,360,31,1,0,0,POUCH - ENJOY - OWING - IRONS - LIONS
